shortname;fullname;category
CEEFMTIBRAULIOFRANCO_3ªN01EJA-EM_3ª ETAPA_PIPAT_INEP32049536_281587_2023/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;8827
EEEFMZACHEUMOREIRADAFRAGA_2ªN01-EJA-EP-AAD_2ª ETAPA_PIPAT_INEP32053860_270530_2023/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;8827
EEEMDUNASDEITAUNAS_1ªN01-EM_PV_INEP32078650_272283_2023;PROJETO DE VIDA;8827
EEEMDUNASDEITAUNAS_1ªN01-EM_PIP_INEP32078650_272283_2023;PROJETO DE INTERVENÇÃO/PESQUISA APLICADA À COMUNIDADE;8827
