shortname;nome_backup;nome_categoria;nome_imagem
EEEFMHUNNEYEVERESTPIOVESAN_3ªN02EJA-EM_3ª ETAPA_PIPAT_INEP32035039_7831_2024/1;EJA_EM_2024_1_3aETAPA_PIPAT;INEP32035039 / EJA - ENSINO MÉDIO / 2024/1;EJA_EM_PIPAT
EEEFMSAOJOAODOSOBRADO_2ªN01-EM-NAR_PROINPAC_INEP32015550_3181_2024;EM_2024_2aN_PROINPAC;INEP32015550 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMPROFESSORJOAOANTUNESDASDORES_7ªE8ªMULTIN01-EJA-EF_7ª ETAPA_PIPAT_INEP32035500_7435_2024/1;EJA_EF_2024_1_7aETAPA_PIPAT;INEP32035500 / EJA - ENSINO FUNDAMENTAL / 2024/1;EJA_EF_PIPAT
